id,role,type,description,size/ratio,style line ref,source
stone_projectile,Animated shot object,sprite,"Round warm sandstone projectile with carved facets and a crisp dark outline",48x48,STYLE_FORMULA_v1.0,public/assets/stone.png
projectile_family_visuals,BattleScene typed projectile markers,sprite,"Five readable wasteland weapon models: jagged stone fuel canister cryo dart diamond penetrator and welded spiked mine",32x32 each,STYLE_FORMULA_v1.1,code-native
projectile_trails,BattleScene typed flight feedback,sprite,"Short-lived type-specific debris sparks frost shards penetrator glints and oily bomb smoke",dynamic pooled particles,STYLE_FORMULA_v1.1,code-native
projectile_impact_effects,BattleScene typed collision feedback,sprite,"Distinct layered fire frost penetration stone and blast signatures with shards rings smoke and camera impulse",dynamic 128x128 to 320x320,STYLE_FORMULA_v1.1,code-native
catapult_status_badges,CatapultView persistent effect feedback,ui,"Compact outlined fire and frost status badges with matching aura colors positioned above affected catapults",responsive world labels,STYLE_FORMULA_v1.0,code-native
projectile_selector,AimingControls ammunition choice,ui,"Compact touch-friendly five-slot ammunition strip with selected state remaining count and locked future-effect messaging",720x62,STYLE_FORMULA_v1.0,code-native
impact_burst,Hit result feedback,sprite,"Compact amber and coral cut-paper impact starburst with chunky shards",128x128,STYLE_FORMULA_v1.0,public/assets/impact-burst.png
damage_feedback,Hit result feedback,ui,"Coral floating damage number with a short amber pulse",dynamic,STYLE_FORMULA_v1.0,code-native
battle_hud,BattleScene health turn status and controls,ui,"Worn retro-industrial HUD with riveted plates oxidized metal teal instruments and orange action signals",responsive,STYLE_FORMULA_v1.1,code-native
world_navigation_hud,BattleScene world scale orientation,ui,"Compact fixed-screen location rail showing active side projectile travel and opposing base without revealing exact enemy placement",responsive,STYLE_FORMULA_v1.0,code-native
weather_visual_layers,BattleScene match atmosphere,environment,"Subtle fixed-screen cut-paper overlays for superheat shimmer rain streaks drifting snow and sandstorm bands that preserve projectile and HUD readability",1600x900 responsive,STYLE_FORMULA_v1.0,code-native
weather_hud,BattleScene weather and wind decision support,ui,"Compact dark cut-paper badge with weather name wind direction arrow and signed strength shown before every shot",286x80,STYLE_FORMULA_v1.0,code-native
protection_set,BattleScene base defense,gameplay,"Scavenged asymmetric wood barricade welded chain mesh and patched armor plate with braces bolts rust and faction paint",variable world scale,STYLE_FORMULA_v1.1,code-native
destruction_states,BattleScene destructible feedback,effect,"Three progressive damage stages with missing panels burn plates holes cracks loose bolts and material-specific rubble",variable world scale,STYLE_FORMULA_v1.1,code-native
arena_ambient_life,BattleScene world motion,environment,"Industrial towers pipes tanks gauges smoke stacks and animated scrap drones distributed across the 7200-unit wasteland",responsive world layer,STYLE_FORMULA_v1.1,code-native
placement_screen,PlacementScene local setup flow,ui,"Direct-on-field setup with worn tactical panels seams rivets hazard markers three catapult positions five defense slots budget and private handoff cover",1600x900 responsive,STYLE_FORMULA_v1.1,code-native
fog_of_war,BattleScene opponent concealment,effect,"Stepped dark smoke bands over the opposing home zone that preserve projectile effects and fixed HUD readability",responsive world layer,STYLE_FORMULA_v1.1,code-native
procedural_audio,BattleScene launch and impact feedback,audio,"Failure-safe Web Audio mechanical launch layer UI click and five type-specific synthesized impact signatures",dynamic,STYLE_FORMULA_v1.1,code-native
result_panel,ResultScene victory summary and restart actions,ui,"Centered dark cut-paper victory card with amber trophy signal and mint action buttons",760x430,STYLE_FORMULA_v1.0,code-native
